/* General Script Strings */
BLANK		_(" ")

/* TONY OUR BELOVED */
TONY_MSG1			_("In this episode, we welcome special guest Tony Scavenger.")
TONY_MSG2			_("His presence delights many and he is loved by all.")
TONY_MSG3			_("Get ready to see how his talents make him stand out!")


TONY_MSG4			_("In this episode, we mourn the loss of Tony.")
TONY_MSG5			_("He was the finest mind of our generation.")
TONY_MSG6			_("He could solve what 1 + 1 equals!")
TONY_MSG7			_("Not even I can do that!")


/* Generic Briefing Stuff */
/* Used in Alpha 1... */
TRANS_MSG1			_("Briefing Commences:")

/* Early mission script stuff (may not need?) */
BARBASE_MSG			_("Scavenger Outpost")
POWRES_MSG			_("Power Resource")
ART_MSG				_("Unknown Artifact")
POWSURGE_MSG			_("Source of Power Surge")

/* LZ stuff */
LZ_MSG				_("Landing Zone")
RUINS_MSG			_("Mission Target")
RUINS_MSG2			_("Pre-Collapse Research Center")
/* In flight brief TEXT */
/* Used in Alpha 3... */
INFLIGHT_MSG1			_("En-route To Mission Site")

END_MSG1			_("Mission Failed")
WIN_MSG1			_("Mission Successful")

/* more proximity text */
LZ_MSG3				_("Enemy Landing Zone")
ENEMYBASE_MSG			_("Enemy Base")
MISSIONTARGET_MSG		_("Mission Target")

/* incoming transmission */
NP_MSG1				_("Incoming transmission")

/* Incoming intelligence report. */
INCOM_INT		_("Incoming intelligence report.")

/* Additional Messages */
ADD_MSG42			_("Nuclear Reactor")
SIGN_MSG			_("You should probably pay attention to this thing")
